Transacted Price,Area sqm,PropertyAge,Prior Transacted Price,No of years owned,GroundFloor,LowFloor,HighFloor,Penthouse,NewPurchaser,HDBPurchaser,PrivatePurchaser,WestRegion,NorthRegion,NorthEastRegion,East Region,CentralRegion,mrt_dist_meter,sch_dist_meter
985000,168,13.8,575000,4.1,1,0,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
450000,156,8.6,500981,6.8,1,0,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
980000,156,21.9,450000,13.3,1,0,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
745000,113,13.5,445805,11.6,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
980000,118,16.7,525412,15.9,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
993290,130,17.9,505540,16.2,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
930000,118,17.9,441641,16.2,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
888000,113,17.7,430965,16.1,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
860000,118,19.8,449884,18.3,0,1,0,0,0,0,1,1,0,0,0,0,818.5483394,169.009634
878000,118,21.2,860000,1.4,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
368000,111,9.1,426490,7,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
617000,111,12,368000,2.9,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
730000,111,13.2,617000,1.2,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
540000,111,10.6,424921,9,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
810000,111,19.6,540000,8.9,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
440000,130,8.2,600760,7.4,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
380000,113,9.4,434890,7.8,0,1,0,0,0,0,1,1,0,0,0,0,818.5483394,169.009634
540000,113,11.6,380000,2.2,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
702000,113,13.1,540000,1.5,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
605000,113,11.9,437245,10.3,0,1,0,0,0,0,1,1,0,0,0,0,818.5483394,169.009634
875000,118,19.3,542432,18.6,0,1,0,0,0,1,0,1,0,0,0,0,818.5483394,169.009634
650000,130,10.1,601680,9.3,0,1,0,0,0,0,1,1,0,0,0,0,818.5483394,169.009634
